frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.42,2.15,0.00,2.40,2.20,1.31,0.00,1.54,2.61,1.34,0.00,0.00,0.00,2.05,1.11,0.23,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2,0,0.042,0.98,1,0.55,2.01,0.00,2.76,2.12,1.13,0.00,1.72,2.68,1.43,0.00,0.12,0.00,2.33,0.84,0.14,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
3,0,0.083,0.98,1,0.70,2.07,0.00,3.00,2.03,1.02,0.00,1.78,2.69,1.50,0.00,0.12,0.00,2.40,0.67,0.07,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
4,0,0.125,0.98,1,0.52,1.48,0.00,2.01,2.03,1.75,0.06,1.61,2.08,1.33,0.14,0.50,0.00,1.57,0.54,0.06,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
5,0,0.167,0.98,1,0.29,0.84,0.00,1.04,1.96,2.56,0.06,1.37,1.48,1.15,0.14,0.69,0.00,0.80,0.36,0.08,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
6,0,0.209,0.98,1,0.00,0.06,0.00,0.00,1.94,3.52,0.06,1.33,0.90,0.94,0.14,1.01,0.04,0.04,0.54,0.45,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7,0,0.250,0.98,1,0.00,0.00,0.00,0.00,1.87,3.61,0.00,1.18,0.91,0.83,0.00,0.80,0.04,0.02,0.45,0.54,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
8,0,0.292,0.98,1,0.00,0.00,0.00,0.00,1.85,3.29,0.00,1.17,0.83,0.70,0.00,0.84,0.04,0.00,0.38,0.46,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
9,0,0.334,0.98,1,0.00,0.00,0.00,0.00,1.69,3.06,0.00,1.03,0.75,0.63,0.00,0.61,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
10,0,0.375,0.98,1,0.00,0.00,0.00,0.00,1.48,2.82,0.00,1.31,0.78,0.77,0.00,0.38,0.09,0.00,0.33,0.39,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00
11,0,0.417,0.98,1,0.00,0.00,0.00,0.00,1.36,2.81,0.00,1.47,0.76,0.72,0.16,0.13,0.29,0.00,1.03,0.94,0.25,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00
12,0,0.459,0.98,1,0.00,0.00,0.00,0.00,1.50,2.69,0.00,1.68,0.72,0.47,0.50,0.04,0.65,0.00,1.82,1.65,0.34,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
13,0,0.500,0.98,1,0.00,0.00,0.00,0.00,1.68,2.80,0.02,1.64,0.54,0.34,0.76,0.03,0.81,0.00,1.78,1.81,0.48,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
14,0,0.542,0.98,1,0.15,0.00,0.00,0.00,1.64,2.62,0.02,1.24,0.42,0.58,0.74,0.53,0.76,0.00,1.08,1.26,0.26,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
15,0,0.584,0.98,1,0.15,0.00,0.00,0.00,1.39,2.31,0.02,0.67,0.36,1.05,0.40,0.85,0.48,0.02,0.29,0.55,0.17,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
16,0,0.626,0.98,1,0.37,0.00,0.00,0.00,1.12,2.06,0.00,0.37,0.36,1.07,0.15,0.96,0.23,0.02,0.01,0.00,0.12,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
17,0,0.667,0.93,1,0.25,0.00,0.00,0.00,0.99,1.97,0.06,0.72,0.36,1.01,0.17,0.47,0.08,0.02,0.26,0.34,0.14,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
18,0,0.709,0.98,1,0.45,0.00,0.00,0.00,1.01,2.03,0.16,1.04,0.43,0.90,0.20,0.15,0.00,0.00,0.33,0.50,0.29,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
19,0,0.751,0.98,1,0.35,0.00,0.00,0.00,1.02,1.88,0.18,1.05,0.51,1.09,0.27,0.14,0.00,0.00,0.43,0.71,0.20,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
20,0,0.792,0.98,1,0.32,0.00,0.00,0.00,1.16,1.90,0.12,0.82,0.61,1.31,0.10,0.24,0.00,0.00,0.17,0.48,0.16,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
21,0,0.834,0.98,1,0.12,0.00,0.00,0.00,1.30,2.06,0.02,0.81,0.60,1.52,0.07,0.52,0.00,0.00,0.10,0.46,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
